,Country,Years,Life Expectancy Trend,Life expectancy ,Adult Mortality Trend,Adult Mortality,Infant Deaths Trend,infant deaths,Alcohol Trend,Alcohol,Percentage Expenditure Trend,percentage expenditure,Hepatitis B Trend,Hepatitis B,Measles Trend,Measles ,BMI Trend, BMI ,Under-Five Deaths Trend,under-five deaths ,Polio Trend,Polio,Total Expenditure Trend,Total expenditure,Diphtheria Trend,Diphtheria ,HIV/AIDS Trend, HIV/AIDS,GDP Trend,GDP,Population Trend,Population,Income Composition of Resources Trend,Income composition of resources,Schooling Trend,Schooling
10,Belarus,14,5.799999999999997,69.74666666666667,239.0,220.26666666666668,1,0.6,6.5699999999999985,13.497333333333334,1138.61730482,350.98288568866667,92.0,88.26666666666667,149,26.33333333333333,55.2,54.24,1,0.9333333333333332,90.0,89.26666666666667,1.9800000000000004,6.191999999999999,94.0,91.73333333333332,0.0,0.1,8255.040524,3669.0192532,8978966.0,6164016.866666666,0.121,0.7395999999999999,2.5999999999999996,14.693333333333332
11,Belgium,14,11.400000000000006,80.65333333333334,98.0,69.93333333333334,1,0.2666666666666666,2.549999999999999,11.042666666666666,6903.8430541,2551.928167206667,92.0,72.93333333333334,576,83.86666666666666,57.199999999999996,50.04,0,1.0,3.0,97.66666666666669,8.43,5.962000000000001,4.0,97.2,0.0,0.1,46097.13017,17752.534733333334,11166560.0,2324699.0,0.029000000000000026,0.8766,3.1000000000000014,16.8
12,Belize,14,1.7999999999999972,69.15333333333334,181.0,154.2,0,0.0,2.45,6.252666666666667,618.83976408,390.2330557793333,22.0,94.8,0,0.0,44.5,39.79333333333333,0,0.0,7.0,95.6,1.9200000000000004,5.039333333333333,9.0,95.26666666666668,1.4,0.4466666666666666,4404.995706,3871.8798198,325468.0,157799.86666666667,0.03799999999999992,0.6931333333333334,1.200000000000001,12.433333333333334
13,Benin,12,4.100000000000001,57.70769230769231,34.0,269.3076923076923,0,25.0,1.39,0.9515384615384614,103.156364545,47.78113220676923,75.0,61.07692307692308,1412,593.2307692307693,23.099999999999998,19.3,1,39.15384615384615,74.0,65.38461538461539,1.17,4.654615384615385,75.0,65.46153846153847,1.0,1.7076923076923076,881.8865979999999,572.4469726,9191505.0,4143771.307692308,0.068,0.4418461538461538,3.3999999999999995,9.069230769230767
14,Bhutan,14,7.700000000000003,65.92,283.0,231.53333333333333,1,0.7333333333333333,0.95,0.2786666666666667,300.080880772,143.74834128400002,16.0,93.8,756,84.86666666666666,21.3,17.12,0,1.0,89.0,88.8,4.18,5.346,13.0,93.53333333333332,0.5,0.3466666666666667,2434.8580327,1270.00973018,775653.0,472931.5333333333,0.596,0.1558666666666666,5.3,10.073333333333332
15,Bosnia and Herzegovina,10,2.200000000000003,76.18181818181819,98.0,63.54545454545455,0,0.0,1.13,4.600909090909091,729.386330241,267.945692922,85.0,70.72727272727273,3000,303.72727272727275,49.8,48.50909090909091,0,0.0,86.0,75.18181818181819,1.6600000000000001,9.184545454545455,86.0,82.0909090909091,0.0,0.1,5138.792485999999,2216.6363967272728,3777513.0,1813739.4545454544,0.742,0.5871818181818181,1.8999999999999986,13.254545454545456
16,Botswana,14,19.099999999999994,55.406666666666666,696.0,460.9333333333333,0,2.0,6.55,4.67,667.838474125,356.551435597,86.0,86.8,2672,253.7333333333333,33.8,31.866666666666667,2,3.2,1.0,96.2,1.83,5.510666666666666,2.0,95.86666666666666,36.5,17.48,7567.588906999999,4362.6610599333335,1995739.0,1119512.066666667,0.1389999999999999,0.6258666666666667,0.9000000000000004,12.106666666666666
17,Brazil,14,4.0,73.27333333333333,166.0,151.26666666666668,67,70.0,0.7300000000000004,7.213333333333334,1095.33351263,416.7419681833333,8.0,96.2,876,87.46666666666667,50.0,46.46,78,79.26666666666667,3.0,98.33333333333331,1.96,8.019333333333334,6.0,98.06666666666666,0.0,0.1,12807.885307999999,5968.888433066666,198429705.0,93830194.8,0.06999999999999995,0.7072666666666667,1.8999999999999986,14.093333333333334
18,Bulgaria,14,3.200000000000003,72.74,149.0,124.73333333333332,0,1.0,2.370000000000001,10.865333333333332,859.9137915,374.128217628,8.0,94.66666666666669,22004,1632.3333333333333,58.8,53.75333333333333,0,1.0,9.0,94.46666666666668,2.0299999999999994,7.236000000000001,8.0,94.2,0.0,0.1,7684.049331,4802.015452133333,7761039.0,5165119.466666667,0.07800000000000007,0.7521333333333333,1.9000000000000004,13.64
19,Burkina Faso,8,5.0,57.23333333333333,266.0,224.0,8,43.0,4.74,4.091111111111111,99.41249439900001,75.472462839,84.0,80.0,54106,7344.555555555556,4.200000000000001,16.644444444444446,23,74.22222222222223,85.0,64.11111111111111,2.45,6.214444444444444,84.0,81.11111111111111,1.4,1.1444444444444446,624.3064357000001,523.4402757666667,17417783.0,7680183.333333333,0.07300000000000001,0.364,3.0,6.255555555555556
20,Burundi,10,6.5,56.02727272727272,345.0,257.45454545454544,2,23.0,5.71,3.3663636363636367,39.52499523,18.98607505036364,16.0,93.27272727272728,784,180.0,4.399999999999999,15.790909090909093,6,34.54545454545455,20.0,90.9090909090909,10.19,7.818181818181818,16.0,93.27272727272728,4.1,2.536363636363636,297.1746394,151.48543103636365,8117906.0,3842748.454545455,0.125,0.3418181818181818,5.3999999999999995,8.272727272727273
21,Cabo Verde,12,5.900000000000006,72.62307692307692,136.0,110.6153846153846,0,0.0,5.2700000000000005,3.416923076923077,410.674424835,211.1392186116154,94.0,79.46153846153847,0,0.0,26.2,24.23846153846154,0,0.0,90.0,89.0,1.6399999999999997,4.717692307692308,90.0,88.6923076923077,0.7,0.5153846153846154,3404.66954,2070.3288263076925,521221.0,281645.8461538461,0.07400000000000007,0.6086153846153846,2.5,12.261538461538462
22,Cambodia,8,4.200000000000003,66.43333333333334,197.0,154.77777777777777,6,13.88888888888889,2.2300000000000004,1.4255555555555557,53.271193726999996,39.51294558011111,84.0,78.55555555555556,4779,1273.888888888889,4.599999999999998,16.48888888888889,9,16.22222222222222,87.0,76.44444444444444,2.6100000000000003,5.5088888888888885,86.0,78.77777777777777,0.9000000000000001,0.5333333333333333,787.2473299999999,527.3456185222223,14761938.0,6493229.555555556,0.07000000000000006,0.5222222222222223,0.8000000000000007,10.566666666666666
23,Cameroon,9,3.9000000000000057,54.86,391.0,305.5,11,53.2,6.180000000000001,3.985,99.936248048,53.6417383846,81.0,76.1,731,459.1,5.099999999999998,25.78,22,82.6,80.0,74.9,1.7400000000000002,4.705,81.0,69.0,3.7,5.73,1428.1525359999998,897.4261000399999,21636737.0,8580129.9,0.05099999999999999,0.4777,2.4000000000000004,9.34
24,Canada,11,7.299999999999997,82.23333333333333,71.0,66.75,0,2.0,0.7000000000000002,8.158333333333333,9646.446020200001,5313.068580983333,49.0,26.666666666666668,797,135.91666666666666,60.400000000000006,54.26666666666667,0,2.0,90.0,84.16666666666667,9.899999999999999,6.553333333333334,8.0,91.66666666666669,0.0,0.1,51952.26111,29568.930781666662,35512888.0,14844926.833333334,0.03500000000000003,0.8960833333333333,0.09999999999999964,15.85
25,Central African Republic,5,9.399999999999999,51.41666666666666,16.0,444.8333333333333,2,16.166666666666668,1.66,0.82,51.184666416,42.60445889733334,24.0,41.833333333333336,677,273.1666666666667,19.900000000000002,14.933333333333332,3,23.5,24.0,42.5,0.6200000000000001,3.8083333333333336,24.0,41.833333333333336,2.8,5.733333333333333,156.8518176,431.9617404666666,4470969.0,3072260.333333333,0.025000000000000022,0.3565,0.6999999999999993,6.8500000000000005
26,Chad,6,7.399999999999999,52.285714285714285,357.0,322.1428571428572,0,46.0,0.63,0.4642857142857143,71.540924949,44.43728938014287,35.0,27.571428571428573,8587,1527.571428571429,2.3000000000000007,17.5,2,79.14285714285714,48.0,31.857142857142858,0.7000000000000002,3.198571428571429,35.0,27.857142857142858,1.8000000000000003,3.814285714285714,904.7804243,712.2338980571429,12416652.0,7677454.571428572,0.05199999999999999,0.367,1.2999999999999998,6.8
27,Chile,8,4.099999999999994,79.94444444444444,82.0,78.33333333333333,0,2.0,1.17,7.334444444444445,2264.7295397,1039.2625075444444,86.0,75.0,6,0.7777777777777778,56.5,54.577777777777776,0,2.0,86.0,75.11111111111111,1.6100000000000003,7.035555555555556,87.0,84.44444444444444,0.0,0.1,14698.06898,6998.758676333334,15874052.0,15251788.888888888,0.04499999999999993,0.8162222222222222,1.3999999999999986,15.344444444444443
28,China,14,4.099999999999994,74.14,104.0,73.0,319,304.06666666666666,2.95,4.182,311.07579727999996,78.48934708873334,93.0,79.2,125258,67424.4,29.4,21.066666666666663,410,361.1333333333333,13.0,93.33333333333331,1.4799999999999995,4.918,14.0,92.93333333333334,0.0,0.1,7530.3414,2443.7092390000003,1323371.0,334124.73333333334,0.14,0.6553333333333333,3.5999999999999996,11.3
29,Colombia,14,3.1999999999999886,73.18666666666667,152.0,123.0,7,14.133333333333333,0.41000000000000014,4.419333333333333,1472.73400718,551.0828578293333,85.0,78.2,139,10.066666666666666,51.7,48.986666666666665,9,16.666666666666668,85.0,83.8,1.83,6.34,85.0,78.4,0.0,0.1,7829.797132,3500.1364278,47347953.0,30670015.0,0.06999999999999995,0.6790666666666667,2.5,12.14
30,Comoros,11,6.399999999999999,61.94166666666666,248.0,234.41666666666663,1,1.8333333333333333,0.26,0.1475,86.15577902400001,56.62812086166667,61.0,75.25,912,83.5,21.599999999999998,17.916666666666668,0,2.0,79.0,73.41666666666667,3.4600000000000004,5.2225,79.0,73.08333333333333,0.7000000000000001,0.2833333333333334,780.195066,679.4540850249999,751970.0,505838.5833333333,0.497,0.3913333333333333,1.9000000000000004,10.225
31,Costa Rica,14,2.0,78.52666666666667,98.0,67.66666666666667,0,1.0,1.0,3.9246666666666665,2543.34985531,1037.1830932046666,86.0,78.46666666666667,1,0.2,54.2,49.406666666666666,0,1.0,87.0,68.46666666666667,2.6100000000000003,8.620000000000001,86.0,78.93333333333334,0.0,0.1,9597.005901,4144.618256666667,4711251.0,2430729.2666666666,0.06600000000000006,0.7344,2.3000000000000007,12.746666666666666
32,Croatia,7,2.0,76.7875,102.0,60.875,0,0.0,1.0700000000000003,12.1425,2218.5170728,1795.0949734,3.0,96.5,51,9.25,57.1,47.4375,0,0.0,2.0,96.0,0.8099999999999996,7.85,2.0,96.0,0.0,0.1,14538.119739999998,12471.35417375,4413345.0,2312363.875,0.026999999999999913,0.807375,0.9000000000000004,14.5125
33,Cyprus,14,4.900000000000006,79.32,63.0,54.266666666666666,0,0.0,13.02,10.260666666666667,2342.5164087000003,994.84521588,8.0,92.33333333333331,18,2.066666666666667,7.0,56.28666666666666,0,0.0,2.0,98.06666666666666,1.7700000000000005,6.760000000000001,2.0,98.06666666666666,0.0,0.1,30670.91509,14667.137021333332,1142755.0,408493.6666666667,0.05499999999999994,0.8316666666666667,2.1999999999999993,13.466666666666669
34,Djibouti,7,9.200000000000003,62.725,44.0,272.0,0,1.0,0.15000000000000002,0.46125,209.08126212000002,131.1433668025,64.0,77.25,709,126.0,30.5,29.15,1,1.875,11.0,85.25,7.57,7.725,11.0,85.25,1.6,2.7375,1478.651076,927.463697375,903222.0,665335.0,0.051000000000000045,0.44525,1.7999999999999998,5.6375
35,Dominican Republic,14,4.299999999999997,72.24,198.0,142.93333333333334,1,6.466666666666667,1.42,6.030666666666666,1083.57135973,384.7242636126667,81.0,64.06666666666666,253,24.53333333333333,52.5,47.42666666666666,2,7.866666666666666,79.0,74.86666666666666,1.7800000000000002,4.681333333333333,19.0,83.06666666666666,2.2,1.4933333333333332,6230.226342,3312.2343555333337,9885190.0,4643325.933333334,0.06099999999999994,0.6828000000000001,1.0,12.713333333333331
36,Ecuador,14,3.200000000000003,74.62666666666668,149.0,133.06666666666666,3,7.466666666666667,0.6099999999999999,3.807333333333333,353.3398249,116.69978791066666,87.0,78.06666666666666,257,22.133333333333333,48.5,42.586666666666666,4,8.866666666666667,88.0,78.4,5.78,5.88,13.0,89.93333333333334,0.19999999999999998,0.2,6238.474966000001,2097.3344831333334,15647821.0,8215007.0,0.06899999999999995,0.6961999999999999,1.5999999999999996,12.946666666666664
37,El Salvador,14,6.099999999999994,71.62666666666668,196.0,153.53333333333333,2,2.6,0.7400000000000002,2.6926666666666668,636.0407315499999,364.340434464,90.0,85.73333333333333,2,0.1333333333333333,50.3,44.60666666666667,3,2.933333333333333,90.0,81.6,1.9899999999999993,7.1033333333333335,90.0,86.93333333333334,0.2,0.2933333333333333,3740.359371,2410.5490891333334,6274414.0,2705383.066666667,0.06900000000000006,0.6486000000000001,2.0999999999999996,12.62
38,Equatorial Guinea,0,0.0,57.9,0.0,32.0,0,3.0,0.0,0.01,0.0,13.40477417,0.0,2.0,0,13.0,0.0,24.0,0,4.0,0.0,24.0,0.0,3.8,0.0,2.0,0.0,4.4,0.0,192.59733,0.0,1129424.0,0.0,0.582,0.0,9.2
39,Eritrea,9,8.5,61.09,309.0,294.4,1,6.5,0.74,0.765,20.276786971,9.6647550206,87.0,83.3,460,124.3,3.4000000000000004,14.6,2,9.2,89.0,85.7,1.23,3.4230000000000005,89.0,77.2,1.2,1.36,561.0067339,286.94081138,4192939.0,2102662.7,0.406,0.2427,1.0,5.0600000000000005
40,Estonia,10,5.0,74.76363636363637,73.0,158.45454545454547,0,0.0,17.86,10.18909090909091,2598.9529339,1228.9721042818182,86.0,86.45454545454545,27,3.909090909090909,4.199999999999996,57.2,0,0.0,3.0,94.45454545454544,1.83,5.947272727272727,3.0,94.36363636363636,0.0,0.1,19055.990205000002,10855.738850454543,1341396.0,872838.6363636364,0.05499999999999994,0.8341818181818182,0.8000000000000007,16.19090909090909
41,Ethiopia,7,9.5,62.7375,250.0,228.0,46,160.625,1.85,1.21625,81.644776411,55.425267543625,30.0,62.5,11563,4495.25,2.6999999999999993,15.8375,84,240.0,68.0,44.25,2.58,5.32875,72.0,57.625,2.1999999999999997,1.625,519.0086872,342.07442535,97358625.0,56891499.75,0.07300000000000001,0.403625,1.3000000000000007,8.0375
42,Fiji,14,2.0,68.63333333333334,219.0,120.8,0,0.0,2.3000000000000003,1.4626666666666666,454.759254279,148.43396010339998,1.0,98.86666666666666,305,53.333333333333336,56.699999999999996,49.75333333333334,0,0.0,8.0,97.0,1.3199999999999998,3.8973333333333335,90.0,91.2,0.0,0.1,4524.797831,2815.9937821333338,795381.0,634075.5333333333,0.04599999999999993,0.7001333333333333,2.0999999999999996,14.106666666666666
43,France,14,10.200000000000003,82.20666666666666,88.0,72.8,0,3.0,2.790000000000001,12.404666666666666,6938.04877606,4001.607012409333,57.0,48.93333333333333,14949,2828.6,55.9,51.28,1,3.466666666666667,3.0,98.26666666666668,10.34,6.556,2.0,98.06666666666666,0.0,0.1,44997.07313,25794.803399333334,65684213.0,28976350.8,0.04600000000000004,0.869,0.7999999999999989,15.873333333333331
44,Gabon,9,4.100000000000001,63.0,267.0,229.6,0,2.0,9.01,7.706,794.33830366,295.697580522,75.0,62.6,122,25.3,31.999999999999996,30.57,0,3.0,73.0,61.7,1.44,3.155,75.0,63.9,8.100000000000001,7.290000000000001,9579.90657,5639.6252448,1859292.0,1183626.1,0.04700000000000004,0.6592,0.1999999999999993,12.46
45,Georgia,14,2.799999999999997,73.44666666666667,130.0,114.0,1,1.2,5.93,5.623333333333333,214.350310232,106.16076161953332,48.0,76.13333333333334,7850,1355.8,49.8,47.18,1,1.2666666666666666,85.0,80.53333333333333,8.190000000000001,7.3306666666666676,90.0,82.8,0.0,0.1,4302.290272,2051.1896525666666,44140.0,8351.133333333333,0.759,0.6719333333333334,2.0999999999999996,12.593333333333334
46,Germany,14,11.0,81.18666666666667,87.0,71.46666666666667,1,2.533333333333333,1.9700000000000006,11.628666666666668,7848.158688700001,4160.94961162,79.0,76.73333333333333,6024,1432.7333333333331,55.5,51.306666666666665,1,3.2666666666666666,3.0,94.86666666666666,10.3,4.073333333333333,88.0,89.53333333333333,0.0,0.1,43174.03387,23215.140268000003,82444351.0,35895396.53333333,0.06500000000000006,0.8925333333333333,0.8000000000000007,16.566666666666666
47,Ghana,12,11.399999999999999,61.29230769230769,268.0,196.53846153846155,5,40.23076923076923,1.77,1.226153846153846,222.040573771,91.52090853446154,90.0,65.92307692307692,12283,1396.076923076923,25.3,22.876923076923077,9,59.69230769230769,86.0,77.38461538461539,2.21,4.49,90.0,71.3076923076923,2.7,2.2153846153846155,1794.805579,880.9331944846155,26747134.0,10468674.923076924,0.09199999999999997,0.5287692307692308,4.1,9.623076923076924
48,Greece,14,9.799999999999997,81.23333333333333,76.0,73.73333333333333,1,0.2,2.4899999999999993,8.803333333333335,3560.7048183,1876.5299418066668,89.0,88.46666666666667,149,26.466666666666665,59.5,58.16,1,0.4666666666666667,90.0,90.93333333333334,2.17,9.038666666666668,10.0,96.46666666666668,0.0,0.1,30754.32837,17538.665600666667,11102753.0,1641363.4666666666,0.06799999999999995,0.8408,3.299999999999999,15.853333333333332
49,Guatemala,9,9.799999999999997,73.14,179.0,141.5,4,12.1,0.52,2.161,616.01982333,431.765546227,23.0,88.4,0,0.0,6.100000000000001,46.88,5,14.8,87.0,79.4,1.5,6.654000000000001,23.0,88.4,0.0,0.4,3409.929387,2690.7946907,15789581.0,5144815.1,0.049000000000000044,0.5952,1.0999999999999996,10.33
50,Guinea,7,2.3999999999999986,57.7125,270.0,194.625,4,28.625,0.21,0.12875,49.180138097000004,22.249982544125,13.0,59.25,261,80.75,20.4,16.5125,7,44.0,57.0,50.5,2.4299999999999997,4.5825,58.0,53.625,1.9,1.825,512.540612,311.2688578625,11423098.0,3288246.25,0.04799999999999999,0.38625,1.0,8.2375
51,Guinea-Bissau,5,2.1000000000000014,57.36666666666667,10.0,285.0,0,4.0,3.56,1.5599999999999998,52.359300594,33.350148737666665,79.0,73.0,26,4.5,3.1000000000000014,24.03333333333333,1,6.5,9.0,84.33333333333333,1.3499999999999996,6.109999999999999,79.0,73.0,2.6,5.133333333333334,631.133543,425.47065545,1570156.0,1385761.3333333333,0.01799999999999996,0.411,0.29999999999999893,9.033333333333331
52,Guyana,13,1.2999999999999972,65.61428571428571,225.0,200.14285714285717,1,0.5714285714285714,1.2199999999999998,7.461428571428571,534.457071258,213.39181988764287,89.0,87.71428571428571,0,0.0,41.6,35.69285714285714,0,1.0,89.0,88.07142857142857,2.79,6.100714285714285,89.0,87.71428571428571,1.9999999999999998,1.1142857142857143,3900.3549629999998,1675.6289787142855,755902.0,504796.5,0.030000000000000027,0.6197857142857143,1.5,10.814285714285717
53,Haiti,1,0.3999999999999986,62.900000000000006,8.0,249.0,0,14.0,5.67,2.845,0.11353711599999983,5.04648088,20.0,58.0,0,0.0,1.0999999999999943,48.25,0,19.0,12.0,61.0,0.54,7.83,20.0,58.0,0.0,0.5,1.8491386999999975,82.19024235,140690.0,1502121.0,0.0040000000000000036,0.485,0.0,9.1
54,Honduras,14,3.5,72.88666666666667,159.0,141.66666666666666,3,4.733333333333333,0.6200000000000001,3.0420000000000003,348.21041156,204.92334427066663,6.0,94.93333333333334,0,0.0,44.9,38.99333333333333,4,5.8,11.0,95.26666666666668,3.1499999999999995,8.147333333333332,6.0,95.53333333333332,1.4,0.8533333333333334,2129.257312,1361.4967173333332,8574269.0,2961423.7333333334,0.06699999999999995,0.5879333333333333,1.8999999999999986,10.866666666666667
55,India,10,4.0,66.0,212.0,116.63636363636364,643,1268.8181818181818,1.91,2.264545454545454,85.67735261899999,41.483586303181816,73.0,30.272727272727277,65741,43188.545454545456,5.100000000000001,15.454545454545457,900,1681.8181818181818,26.0,72.54545454545455,0.47000000000000064,4.356363636363636,78.0,68.0909090909091,0.09999999999999998,0.2454545454545454,1553.801125,900.0099097000001,1281460603.0,594387175.4545455,0.08899999999999997,0.5627272727272726,2.4000000000000004,10.409090909090908
56,Indonesia,14,3.6000000000000085,67.45333333333333,194.0,165.93333333333334,68,153.66666666666666,0.039999999999999994,0.0686666666666666,251.03548206,89.35286996466667,23.0,73.26666666666667,25827,16321.333333333334,24.0,19.46,95,190.0,78.0,65.8,1.12,2.6633333333333336,78.0,72.0,0.19999999999999998,0.1933333333333333,3609.0265560000003,1557.98011128,252985464.0,107114802.53333332,0.08500000000000008,0.6384666666666666,2.3000000000000007,11.526666666666667
57,Iraq,10,12.299999999999997,70.39090909090909,232.0,135.72727272727272,2,31.545454545454547,0.31,0.13,425.54697516,175.51082109545453,21.0,65.54545454545455,30313,4456.636363636364,6.600000000000001,55.17272727272727,2,38.36363636363637,71.0,53.36363636363637,2.92,4.442727272727272,22.0,68.72727272727273,0.0,0.1,6472.47498,3412.401922454545,33879577.0,14787801.545454543,0.05600000000000005,0.6406363636363637,0.6999999999999993,10.236363636363636
58,Ireland,4,5.0,83.44,62.0,55.4,0,0.0,1.3900000000000006,11.266,5913.1423918,3792.5608153,49.0,85.2,410,183.8,55.6,49.7,0,0.0,2.0,95.2,0.9799999999999995,8.222,2.0,95.2,0.0,0.1,47332.75832,32225.113914,4161070.0,3767073.0,0.015000000000000013,0.9046,0.40000000000000213,18.48
59,Israel,14,5.099999999999994,81.22,70.0,59.6,0,1.0,0.5499999999999998,2.497333333333333,4343.9902084000005,1565.371548716667,3.0,97.53333333333332,929,142.86666666666667,58.49999999999999,54.32666666666667,0,1.0,5.0,94.2,0.7599999999999998,7.478666666666667,87.0,88.6,0.0,0.1,37346.64978,17735.88291466667,81500.0,29161.666666666668,0.050000000000000044,0.8715333333333334,0.9000000000000004,15.693333333333332
60,Italy,14,9.599999999999994,82.15333333333334,71.0,54.06666666666667,1,2.066666666666667,2.829999999999999,8.266666666666667,5436.5695388,3132.946831179333,3.0,95.66666666666669,10982,2081.5333333333333,56.6,55.65333333333333,1,2.333333333333333,2.0,96.33333333333331,1.5099999999999998,8.777333333333333,10.0,94.86666666666666,0.0,0.1,38309.86577,22627.15802533333,59482120.0,29441802.73333333,0.05400000000000005,0.8565333333333333,1.8000000000000007,15.906666666666666
61,Jamaica,11,2.700000000000003,74.51666666666667,151.0,135.5,0,1.0,0.5,3.6041666666666665,421.848164066,145.98425006616665,90.0,82.5,2,0.25,48.0,45.41666666666666,0,1.0,90.0,87.5,1.6900000000000004,5.095833333333333,90.0,87.25,1.9,1.05,4799.5988370000005,2321.5420979166665,2801011.0,1292749.25,0.038000000000000034,0.7144166666666667,1.700000000000001,12.466666666666669
62,Jordan,14,2.299999999999997,72.91333333333334,121.0,114.46666666666668,0,4.0,0.20999999999999996,0.5173333333333333,688.52838634,291.8395031666667,5.0,96.86666666666666,120,28.266666666666666,58.699999999999996,52.16,0,4.0,4.0,97.0,2.67,8.781333333333333,8.0,96.86666666666666,0.0,0.1,3769.0293,1911.0057373333332,8362151.0,5160351.933333334,0.04200000000000004,0.7282,1.200000000000001,13.246666666666666
