Country,Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Malaysia,2014,74.8,149.0,4,0.54,721.3655432,97.0,6187,39.5,5,98.0,4.2,98.0,0.1,11183.96191,28635128.0,9.8,9.6,0.783,13.0
Maldives,2014,78.2,139.0,0,1.98,2051.748615,99.0,1395,26.2,0,99.0,13.73,99.0,0.1,7716.2415,393.0,14.8,14.8,0.693,12.7
Mali,2014,57.8,299.0,59,0.61,102.1413744,83.0,2939,23.2,106,79.0,6.97,78.0,2.2,835.88998,16962846.0,9.9,9.7,0.43,8.2
Malta,2014,87.0,71.0,0,8.84,3601.287457,94.0,6,69.2,0,99.0,9.95,99.0,0.1,22821.847,427364.0,0.8,0.8,0.847,14.8
Mauritania,2014,69.0,223.0,8,0.02,80.92679802,84.0,1292,29.4,12,84.0,4.21,84.0,1.3,1393.261593,3717672.0,9.8,9.6,0.509,8.5
Mauritius,2014,74.2,179.0,0,4.6,918.807245,99.0,777,32.8,0,99.0,5.29,99.0,0.2,9637.265,1258653.0,8.1,8.1,0.769,14.7
Mexico,2014,76.6,129.0,55,5.36,1117.196097,99.0,64,62.8,66,99.0,6.6,99.0,0.1,9834.472689,122535969.0,2.0,1.9,0.754,13.1
Mongolia,2014,68.4,284.0,2,5.8,281.0023992,99.0,10677,51.5,3,99.0,6.18,99.0,0.1,4385.379355,2923896.0,2.6,2.6,0.729,14.8
Montenegro,2014,75.9,125.0,0,6.56,726.0291764,93.0,5,61.3,0,95.0,8.1,95.0,0.1,7378.345289,619428.0,2.2,2.2,0.803,15.1
Morocco,2014,77.0,155.0,27,0.62,198.7343495,99.0,10841,57.5,32,99.0,6.15,99.0,0.1,3154.513484,33824769.0,6.7,6.6,0.64,12.1
Mozambique,2014,58.0,434.0,90,2.16,67.33378735,79.0,28898,22.2,132,79.0,6.98,85.0,16.3,623.2871141,27212382.0,4.1,4.0,0.409,9.5
Myanmar,2014,66.4,296.0,69,0.7,45.33788677,92.0,2175,22.9,96,92.0,2.5,88.0,0.6,1262.893782,51924182.0,13.3,13.6,0.547,9.1
Namibia,2014,66.1,299.0,3,7.84,796.8734263,89.0,3138,34.9,4,89.0,8.93,89.0,6.2,5749.44752,2263934.0,9.9,9.9,0.632,11.7
Nepal,2014,69.6,218.0,38,0.27,112.1229028,92.0,13344,18.5,50,93.0,6.73,92.0,0.2,692.1166842,28323241.0,18.0,18.6,0.551,12.4
Netherlands,2014,81.7,63.0,1,9.05,1491.703605,92.0,2632,61.6,1,97.0,11.4,97.0,0.1,52157.4687,16754962.0,1.0,0.9,0.923,18.1
Nicaragua,2014,76.0,198.0,4,3.83,473.1238124,98.0,0,53.2,5,99.0,9.4,98.0,0.4,1975.46477,5945747.0,2.2,2.1,0.636,11.6
Niger,2014,69.0,263.0,51,0.15,32.22493445,75.0,1224,18.9,99,75.0,6.98,75.0,1.1,416.14838,19148219.0,11.0,9.9,0.345,5.3
Nigeria,2014,59.0,396.0,556,9.71,263.2111031,63.0,110927,24.7,893,66.0,4.47,63.0,5.4,3221.678128,167297284.0,12.9,12.9,0.521,10.0
Pakistan,2014,66.2,185.0,372,0.04,62.29361092,82.0,8749,24.7,466,82.0,3.4,82.0,0.1,1316.98966,185546257.0,21.6,22.0,0.542,7.8
Panama,2014,77.6,127.0,2,6.95,1842.463782,98.0,4,57.1,2,99.0,8.9,99.0,0.2,12593.7374,3838462.0,2.3,2.3,0.78,13.0
Papua New Guinea,2014,68.0,335.0,11,0.88,208.2311603,73.0,17620,47.9,15,81.0,8.39,79.0,1.5,2182.716565,7755785.0,1.6,1.5,0.511,10.0
Paraguay,2014,73.9,166.0,4,6.64,573.4346982,92.0,0,49.4,4,98.0,9.81,98.0,0.2,4712.822736,6552584.0,2.4,2.3,0.688,12.7
Peru,2014,75.3,152.0,15,5.38,973.728675,95.0,1,54.9,19,95.0,5.47,95.0,0.4,6583.116248,29759989.0,1.3,1.3,0.735,13.4
Philippines,2014,68.4,223.0,69,5.02,212.7418488,89.0,58848,24.8,90,91.0,4.71,91.0,0.1,2842.938353,96866642.0,1.0,9.7,0.676,11.7
Poland,2014,77.3,153.0,3,11.63,1299.159757,99.0,133,61.1,4,99.0,7.12,99.0,0.1,14341.675,38258629.0,2.5,2.8,0.85,16.4
Portugal,2014,89.0,99.0,1,14.21,3652.869332,98.0,45,59.5,1,98.0,9.98,99.0,0.1,24815.6884,1568247.0,0.8,0.6,0.837,16.8
Romania,2014,78.0,179.0,4,11.9,1230.748231,99.0,7450,59.9,5,99.0,5.83,99.0,0.1,9585.266593,22442971.0,4.0,4.3,0.798,15.8
Russian Federation,2014,73.0,327.0,21,12.19,1529.497771,98.0,4711,59.9,25,98.0,7.9,98.0,0.4,15543.67653,144648257.0,2.8,3.0,0.803,14.9
Rwanda,2014,68.0,415.0,31,8.34,78.47020226,99.0,2738,19.5,50,99.0,8.49,99.0,8.1,688.8768557,11345357.0,7.2,7.4,0.488,10.8
Samoa,2014,79.0,175.0,0,4.17,698.3522786,89.0,8,74.3,0,94.0,7.22,95.0,0.1,4234.554443,189194.0,0.2,0.2,0.701,12.9
Sao Tome and Principe,2014,67.3,225.0,0,6.54,225.7307751,99.0,0,29.3,0,99.0,11.12,99.0,1.6,1821.878734,191266.0,7.4,7.4,0.562,11.1
Senegal,2014,66.4,247.0,24,0.35,96.03725103,94.0,999,23.8,42,93.0,5.68,94.0,0.7,773.8698713,14546111.0,11.6,11.5,0.483,9.1
Serbia,2014,75.4,135.0,1,9.85,915.3190791,99.0,370,59.4,1,98.0,9.9,98.0,0.1,6423.291783,7463157.0,2.6,2.6,0.771,14.3
Seychelles,2014,73.0,188.0,0,11.15,1521.672751,99.0,10,36.2,0,99.0,4.8,99.0,0.1,15687.34795,91359.0,6.3,6.7,0.766,13.5
Sierra Leone,2014,54.0,463.0,29,3.97,54.6659175,92.0,1865,23.8,45,92.0,13.13,92.0,2.2,561.8984239,6611692.0,8.9,8.9,0.426,9.5
Solomon Islands,2014,68.8,235.0,0,1.21,325.1114746,99.0,0,49.7,0,99.0,7.92,99.0,0.1,1858.689868,563513.0,1.4,1.4,0.512,9.6
South Africa,2014,69.0,498.0,55,8.69,1089.954838,83.0,12499,49.5,84,79.0,8.9,82.0,29.7,7548.163698,54146734.74,16.3,19.1,0.66,13.0
Spain,2014,89.0,86.0,2,12.26,5596.535203,97.0,3802,66.0,2,99.0,9.56,98.0,0.1,35578.73619,46742697.0,0.6,0.5,0.877,17.6
Sri Lanka,2014,74.7,197.0,6,3.03,191.7267589,99.0,2107,22.7,10,99.0,4.6,99.0,0.1,2819.511161,19968.0,15.4,15.5,0.76,14.0
Suriname,2014,76.0,199.0,0,6.32,1168.324095,87.0,0,57.7,0,96.0,6.9,96.0,1.2,9564.46383,547928.0,3.5,3.5,0.722,12.7
Swaziland,2014,58.4,587.0,3,7.19,735.7090978,98.0,350,31.8,4,98.0,9.66,98.0,50.6,3934.27325,1271456.0,9.4,9.6,0.541,11.4
Sweden,2014,82.3,58.0,0,7.4,11477.6671,67.0,51,59.0,0,98.0,11.97,98.0,0.1,59593.28711,9519374.0,1.5,1.3,0.906,16.0
Syrian Arab Republic,2007,73.8,136.0,10,1.41,122.6523334,83.0,801,49.4,12,86.0,5.12,84.0,0.1,1762.24617,18914977.0,6.8,6.6,0.644,11.5
Tajikistan,2014,69.6,194.0,12,0.6,71.50892145,97.0,2144,39.9,15,97.0,6.88,97.0,0.3,954.725253,8362745.0,4.0,4.0,0.622,11.3
Thailand,2014,74.6,194.0,18,6.56,801.0504655,99.0,10315,32.4,21,99.0,4.17,99.0,0.8,6171.262444,68416772.0,9.4,9.7,0.737,13.7
Timor-Leste,2014,68.0,168.0,2,0.5,38.58376645,83.0,763,17.0,3,83.0,1.48,83.0,0.1,1153.51578,1212814.0,11.7,11.7,0.62,12.5
Togo,2014,59.7,344.0,14,1.44,77.09551224,87.0,577,23.7,22,85.0,6.64,87.0,4.8,579.43485,7228915.0,7.7,7.6,0.475,12.0
Tonga,2014,73.3,158.0,0,2.05,689.9440223,93.0,4,74.8,0,91.0,6.52,91.0,0.1,4266.557174,99789.0,0.1,0.1,0.718,14.6
Trinidad and Tobago,2014,78.0,192.0,0,6.94,1902.693048,95.0,0,46.0,1,96.0,6.47,96.0,2.0,21188.11857,1354493.0,6.5,7.0,0.778,12.7
Tunisia,2014,75.1,112.0,4,1.46,623.2120325,99.0,231,59.3,5,99.0,7.26,99.0,0.1,4271.68172,9939678.0,6.6,6.5,0.722,14.7
Turkey,2014,78.0,143.0,44,1.54,1275.877569,97.0,30509,65.3,54,98.0,6.8,98.0,0.1,12542.93565,75787333.0,5.3,5.2,0.759,14.5
Turkmenistan,2014,66.0,248.0,7,2.93,691.1333535,99.0,59,47.7,8,99.0,4.3,99.0,0.1,7962.365824,5466241.0,3.5,3.5,0.683,10.8
Uganda,2014,67.0,523.0,112,10.42,116.202964,82.0,49871,18.1,181,82.0,11.2,82.0,10.0,719.172669,38833338.0,6.8,6.8,0.483,11.6
Ukraine,2014,78.0,278.0,6,9.46,456.4586664,98.0,42724,59.6,8,99.0,7.81,99.0,1.0,3891.37823,49175848.0,3.0,3.1,0.746,15.2
Uruguay,2014,77.0,131.0,1,6.76,2331.532804,96.0,0,63.4,1,96.0,11.59,96.0,0.1,16881.2568,3419546.0,1.8,1.7,0.791,15.7
Uzbekistan,2014,69.2,192.0,27,2.83,140.6905284,99.0,863,43.9,32,99.0,6.49,99.0,0.4,1564.966945,2648825.0,3.3,3.3,0.69,12.1
Vanuatu,2014,78.0,179.0,0,1.24,564.8167043,68.0,165,52.5,0,67.0,5.2,71.0,0.1,3275.91684,253142.0,1.7,1.7,0.596,10.8
Zambia,2014,63.0,554.0,34,2.59,196.9152496,94.0,15754,22.8,55,93.0,7.56,94.0,17.0,1738.8822,14699937.0,7.1,7.0,0.57,12.5
Zimbabwe,2014,59.2,723.0,30,6.5,92.60233636,97.0,9696,31.3,46,95.0,7.13,95.0,43.5,955.648466,15411675.0,11.0,11.2,0.498,10.4
