Country,Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
India,2004,64.0,2.0,957,1.2,0.844186331,6.0,13822,13.0,1200,58.0,4.22,7.0,0.2,19.317765,12398691.0,26.8,27.4,0.518,9.2
Indonesia,2000,65.3,19.0,119,0.05,3.43334364,62.0,3344,2.5,142,8.0,1.98,7.0,0.1,78.92744,2145652.0,1.4,1.2,0.597,10.6
Iraq,2004,64.7,17.0,30,0.01,21.82252494,56.0,15,51.9,37,7.0,3.0,57.0,0.1,452.74948,3568.0,5.3,5.1,0.603,9.8
Ireland,2010,81.0,7.0,0,10.49,703.5527332,46.0,33,6.5,0,94.0,7.78,94.0,0.1,5234.76736,456155.0,0.3,0.2,0.895,18.2
Israel,2000,78.9,6.0,1,2.23,4.3451016,96.0,2,6.1,1,91.0,7.13,9.0,0.1,236.19646,657.0,1.1,1.1,0.845,15.1
Italy,2000,79.4,6.0,2,6.95,3.1222302,94.0,0,6.5,2,95.0,7.91,87.0,0.1,24.819,57597.0,0.5,0.5,0.823,14.8
Jamaica,2003,73.1,15.0,1,3.33,5.457289334,9.0,0,5.5,1,9.0,4.22,9.0,0.4,56.144952,28482.0,1.8,1.7,0.689,11.1
Jordan,2000,71.7,12.0,4,0.4,27.44252286,93.0,0,6.1,4,94.0,7.23,91.0,0.1,223.83787,51313.0,3.8,3.8,0.7,12.6
Kazakhstan,2000,63.9,22.0,5,5.75,11.1516268,94.0,0,5.6,5,94.0,3.19,82.0,0.1,97.649972,15674.0,2.3,2.5,0.676,12.1
Kenya,2002,52.1,255.0,56,0.01,7.146851404,8.0,0,2.1,79,7.0,3.9,8.0,2.9,92.816252,37525.0,7.8,7.7,0.45,8.2
Kiribati,2000,64.1,2.0,0,0.01,1.76541345,5.0,0,7.6,0,9.0,1.15,7.0,0.1,113.6286,1568.0,0.1,0.1,0.0,10.0
Latvia,2000,69.9,18.0,0,0.01,24.70841046,9.0,0,6.2,0,91.0,5.67,91.0,0.1,1372.68947,22325.0,2.2,2.2,0.716,13.7
Lebanon,2000,72.7,1.0,1,1.29,8.140373615,8.0,5,6.2,1,8.0,1.5,8.0,0.1,84.268878,45735.0,4.7,4.6,0.0,12.9
Lesotho,2003,44.5,52.0,4,0.01,5.300902041,6.0,0,3.2,6,9.0,1.62,9.0,9.0,63.636279,21929.0,1.2,1.1,0.437,10.5
Liberia,2008,58.1,258.0,8,0.01,5.592170255,5.0,0,23.4,11,8.0,1.19,5.0,0.9,33.667491,47167.0,6.7,6.5,0.394,9.5
Lithuania,2000,71.1,2.0,0,9.87,42.87208671,93.0,0,6.0,0,9.0,5.67,92.0,0.1,353.147337,326999.0,2.6,2.7,0.745,14.0
Luxembourg,2000,77.8,7.0,0,11.02,267.051312,77.0,0,6.1,0,96.0,6.8,98.0,0.1,1618.4928,4363.0,0.9,0.9,0.848,13.4
Madagascar,2002,59.3,23.0,29,0.01,5.339065673,7.0,0,2.0,39,7.0,3.4,7.0,0.3,47.733254,1782997.0,7.2,7.1,0.457,8.3
Malawi,2002,44.0,42.0,27,0.01,3.885394742,64.0,1,14.8,40,79.0,1.18,64.0,5.1,26.152517,169735.0,6.5,6.3,0.362,9.6
Malaysia,2000,72.4,13.0,3,0.42,9.23002632,94.0,73,3.7,4,94.0,3.29,94.0,0.1,145.1262,322817.0,7.6,7.4,0.715,11.6
Maldives,2000,69.6,16.0,0,0.01,4.299053392,96.0,0,2.3,0,96.0,5.78,96.0,0.1,32.37239,34.0,13.6,13.7,0.577,11.3
Mali,2003,52.0,27.0,52,0.01,6.660451777,9.0,2,2.2,85,7.0,6.25,63.0,1.5,78.377632,16667.0,1.1,1.0,0.318,5.2
Malta,2003,78.5,55.0,0,6.41,203.3157499,9.0,0,63.9,0,72.0,8.15,72.0,0.1,1519.5497,4538.0,0.7,0.7,0.79,13.8
Mauritania,2005,61.2,26.0,8,0.01,7.35400072,8.0,4,3.1,12,8.0,2.87,8.0,0.9,113.3128,31372.0,8.0,7.7,0.461,7.1
Mauritius,2000,71.0,147.0,0,0.01,0.108055973,88.0,0,3.2,0,88.0,3.78,88.0,0.1,8.376432,1254.0,7.0,6.9,0.667,12.1
Mexico,2000,74.8,12.0,31,4.77,10.22840118,82.0,0,6.1,36,83.0,4.98,83.0,0.1,672.92113,119917.0,1.6,1.5,0.694,11.4
Mongolia,2000,62.8,25.0,1,0.01,22.31624272,93.0,0,4.5,1,94.0,4.21,94.0,0.1,265.353659,255812.0,2.2,2.3,0.582,8.9
Montenegro,2006,73.8,11.0,0,0.01,489.6818699,9.0,0,6.2,0,9.0,6.13,9.0,0.1,4383.59597,6261.0,1.8,1.9,0.751,13.2
Morocco,2000,68.6,11.0,18,0.43,9.469371264,9.0,0,5.8,21,91.0,4.18,91.0,0.1,213.755559,35217.0,6.3,6.2,0.519,8.0
Mozambique,2001,49.5,4.0,61,0.01,0.796915785,25.0,4,2.1,84,67.0,4.91,8.0,4.1,53.127719,29237.0,3.6,3.5,0.298,5.8
Myanmar,2003,59.2,21.0,40,0.01,0.5305728,4.0,122,2.5,52,9.0,1.68,9.0,0.3,41.451,49869.0,12.9,13.1,0.445,7.7
Namibia,2010,63.0,232.0,2,0.01,7.896234931,82.0,79,31.8,3,83.0,7.89,82.0,2.2,56.971392,217317.0,1.4,1.4,0.604,11.4
Nepal,2003,64.3,21.0,18,0.01,2.79096532,2.0,189,12.9,22,8.0,5.48,8.0,0.1,48.7299,2495623.0,15.9,16.3,0.457,9.2
Netherlands,2011,81.1,6.0,1,0.01,1047.370244,2.0,10,6.5,1,96.0,1.53,96.0,0.1,5354.6536,168658.0,1.0,0.9,0.911,17.2
Nicaragua,2000,71.0,17.0,2,3.36,2.092343893,79.0,0,5.2,3,8.0,5.26,79.0,0.1,11.147277,5175.0,1.8,1.7,0.562,10.1
Niger,2009,57.1,223.0,49,0.01,3.304039899,7.0,272,16.9,88,4.0,5.82,7.0,0.5,43.646498,1764636.0,1.0,1.1,0.307,4.2
Nigeria,2005,49.2,4.0,490,0.01,6.416252787,18.0,704,2.4,759,6.0,3.3,4.0,3.9,87.8938738,1534739.0,1.1,1.2,0.463,8.9
Pakistan,2003,62.9,2.0,359,0.01,0.66751505,7.0,863,2.1,442,7.0,2.56,62.0,0.1,14.142268,15783.0,2.0,2.0,0.465,5.6
Panama,2001,75.5,12.0,1,5.43,7.320514461,8.0,0,5.3,1,8.0,6.31,8.0,0.1,446.372833,329174.0,1.9,1.8,0.721,12.4
Papua New Guinea,2000,58.9,29.0,10,0.01,12.05551997,6.0,0,4.4,13,8.0,3.98,55.0,0.7,77.5773486,61724.0,1.3,1.3,0.418,6.2
Paraguay,2003,71.7,15.0,3,0.01,20.60083027,9.0,0,41.3,3,8.0,1.33,85.0,0.1,148.527976,56795.0,2.0,1.9,0.639,11.9
Peru,2003,72.1,14.0,8,0.01,34.70333523,65.0,0,5.2,10,66.0,4.47,77.0,0.1,218.25997,29157.0,1.1,1.1,0.685,12.8
Philippines,2000,66.8,214.0,54,4.08,0.09987219,7.0,9,2.1,68,9.0,2.79,67.0,0.1,1.68135,112249.0,1.0,9.6,0.618,11.4
Poland,2000,73.7,12.0,2,7.74,9.1455559,95.0,0,6.4,2,94.0,5.5,98.0,0.1,94.7726,381256.0,1.9,2.1,0.777,14.6
Portugal,2000,76.6,9.0,0,9.88,167.3280168,7.0,0,5.1,0,93.0,1.42,93.0,0.1,1152.39681,14162.0,0.7,0.5,0.777,15.4
Romania,2000,71.1,135.0,2,0.01,1.576409172,94.0,8,51.4,2,88.0,4.33,89.0,0.1,12.27733,25835.0,2.6,2.8,0.703,11.5
Russian Federation,2001,64.6,3.0,13,10.12,2.642527148,43.0,27,54.2,15,97.0,5.19,96.0,0.1,21.362386,1428588.0,2.3,2.3,0.72,12.5
Rwanda,2002,52.0,23.0,12,0.01,0.661540371,88.0,5,2.1,16,85.0,1.2,88.0,0.4,5.6687264,92658.0,5.8,5.8,0.343,7.2
Samoa,2000,71.4,16.0,0,0.01,21.2543002,6.0,0,7.3,0,6.0,4.45,26.0,0.1,154.68923,17461.0,0.2,0.1,0.64,12.0
Sao Tome and Principe,2003,63.4,21.0,0,0.01,7.495401346,7.0,0,3.1,0,94.0,1.4,94.0,0.2,81.86157,1788.0,5.6,5.4,0.504,9.7
Senegal,2004,59.7,2.0,19,0.26,1.020071763,54.0,0,2.3,27,76.0,4.31,84.0,0.3,11.33678,13391.0,1.0,1.1,0.408,6.2
Serbia,2004,73.0,122.0,1,7.42,8.617208431,65.0,0,53.3,1,91.0,1.12,88.0,0.1,62.173221,73287.0,2.1,2.1,0.72,13.1
Seychelles,2000,71.8,17.0,0,0.01,12.94324581,96.0,0,3.1,0,96.0,2.64,96.0,0.1,184.68447,846.0,5.7,6.0,0.0,12.1
Sierra Leone,2007,45.3,45.0,23,0.01,1.321464076,63.0,0,2.2,32,63.0,1.12,64.0,0.6,45.128418,63126.0,7.5,7.4,0.357,8.2
Solomon Islands,2000,65.8,2.0,0,0.01,3.718438799,9.0,0,4.4,0,9.0,4.56,9.0,0.1,29.652622,41269.0,1.1,1.2,0.442,6.6
South Africa,2000,53.7,48.0,42,6.93,45.96380839,7.0,25,4.1,52,7.0,7.53,7.0,3.7,337.2253,4717.99,1.6,1.7,0.609,12.8
Spain,2000,79.1,6.0,1,0.01,42.98847625,77.0,0,6.5,1,95.0,7.21,95.0,0.1,296.47225,466245.0,0.6,0.5,0.82,15.6
Sri Lanka,2003,69.1,138.0,3,1.56,13.39092189,32.0,0,2.5,3,97.0,3.21,97.0,0.1,174.6692,1952.0,15.2,15.0,0.697,12.7
Suriname,2005,68.9,19.0,0,4.47,72.800168,83.0,0,51.1,0,84.0,5.69,83.0,0.1,527.92,5437.0,3.5,3.4,0.672,11.3
Swaziland,2000,45.6,6.0,2,0.01,2.819124474,9.0,0,3.2,3,85.0,5.11,84.0,7.3,22.99449,1893.0,4.3,4.3,0.492,9.1
Sweden,2011,81.7,54.0,0,7.3,1142.212403,42.0,26,57.7,0,98.0,11.7,98.0,0.1,5918.19898,96379.0,1.4,1.3,0.901,15.8
Syrian Arab Republic,2000,72.6,121.0,8,0.83,10.21129783,8.0,146,43.9,9,83.0,3.72,8.0,0.1,148.852738,178791.0,6.4,6.2,0.588,10.0
Tajikistan,2002,64.3,162.0,10,0.01,1.0419164,39.0,0,32.1,11,76.0,4.46,83.0,0.2,14.214412,7557.0,3.6,3.7,0.543,9.8
Thailand,2000,71.1,16.0,8,5.88,0.27564826,95.0,0,2.2,10,97.0,3.32,96.0,0.1,27.564826,652231.0,7.8,7.8,0.64,10.9
Timor-Leste,2008,66.2,155.0,2,0.01,2.726570602,67.0,0,14.7,2,66.0,0.74,67.0,0.1,114.56179,17811.0,1.9,11.1,0.566,11.7
Togo,2008,56.2,34.0,13,0.01,4.877350139,24.0,120,2.4,20,8.0,5.11,78.0,1.0,62.1318489,633472.0,6.6,6.4,0.441,10.1
Tonga,2000,71.6,14.0,0,0.01,4.783805563,8.0,0,7.1,0,9.0,4.51,8.0,0.1,37.846563,135.0,0.1,0.1,0.674,13.2
Trinidad and Tobago,2002,69.2,19.0,0,5.12,11.85100131,5.0,0,4.2,0,9.0,4.4,9.0,0.2,129.51914,13281.0,5.8,6.0,0.721,11.9
Tunisia,2000,72.9,11.0,3,1.17,53.08451654,92.0,1,5.6,3,95.0,5.29,95.0,0.1,414.15177,11761.0,6.3,6.3,0.646,12.8
Turkey,2000,71.2,14.0,16,1.26,1.132766775,68.0,0,6.2,19,9.0,4.95,9.0,0.1,64.72953,74432.0,4.9,4.7,0.641,10.7
Turkmenistan,2002,63.3,22.0,6,2.33,0.358651421,96.0,0,4.0,8,66.0,1.88,83.0,0.1,26.371428,4612.0,3.2,3.3,0.0,10.2
Uganda,2002,48.8,38.0,68,0.01,2.690897842,8.0,22,13.6,97,7.0,7.22,8.0,3.2,24.2423229,359487.0,5.7,5.6,0.404,10.0
Ukraine,2000,67.0,23.0,4,4.31,5.663849328,4.0,0,6.1,5,45.0,5.59,5.0,0.2,78.738243,45761.0,2.3,2.4,0.669,13.2
Uruguay,2000,75.1,111.0,0,5.11,14.47305874,91.0,0,6.1,0,91.0,6.52,9.0,0.1,79.69746,3485.0,1.5,1.4,0.738,14.0
Uzbekistan,2002,67.1,183.0,16,0.01,0.442802404,62.0,0,4.0,18,94.0,5.11,96.0,0.1,25.448414,26167.0,3.0,3.1,0.6,11.0
Vanuatu,2000,69.0,18.0,0,0.01,21.90075232,6.0,0,5.8,0,65.0,3.28,7.0,0.1,158.52724,2937.0,1.5,1.4,0.0,9.6
Zambia,2005,49.3,45.0,28,0.01,1.860003739,8.0,9,2.2,41,7.0,4.26,8.0,4.3,13.154199,138533.0,6.3,6.2,0.467,10.7
Zimbabwe,2000,44.3,7.0,23,1.68,0.0,7.0,0,3.3,34,7.0,4.47,7.0,6.3,57.34834,125525.0,1.2,1.3,0.406,9.2
